domain,scenario,source_language,target_language,source_text,target_text,speaker,listener,difficulty,tone,tags
greetings_and_basic_conversation,greeting,English,Turkish,I am vegetarian.,Vejeteryanım.,passenger,cabin_crew,A1,neutral,food
greetings_and_basic_conversation,greeting,English,Turkish,I have an allergy.,Alerjim var.,passenger,cabin_crew,A1,urgent,"health,food"
greetings_and_basic_conversation,greeting,English,Turkish,I am allergic to peanuts.,Yer fıstığına alerjim var.,passenger,cabin_crew,A1,urgent,"health,food"
greetings_and_basic_conversation,greeting,English,Turkish,Please give me the menu.,Lütfen menüyü verir misiniz?,passenger,cabin_crew,A2,polite,food
greetings_and_basic_conversation,greeting,English,Turkish,What time is breakfast?,Kahvaltı saat kaçta?,passenger,cabin_crew,A2,polite,food
greetings_and_basic_conversation,greeting,English,Turkish,Can I have another blanket?,Bir battaniye daha alabilir miyim?,passenger,cabin_crew,A2,polite,comfort
greetings_and_basic_conversation,greeting,English,Turkish,I am uncomfortable.,Rahatsızım.,passenger,cabin_crew,A1,neutral,comfort
greetings_and_basic_conversation,greeting,English,Turkish,I need a blanket.,Battaniye istiyorum.,passenger,cabin_crew,A1,polite,comfort
greetings_and_basic_conversation,greeting,English,Turkish,The air is too cold.,Hava çok soğuk.,passenger,cabin_crew,A1,neutral,comfort
greetings_and_basic_conversation,greeting,English,Turkish,Can you turn down the air?,Havayı biraz kısar mısınız?,passenger,cabin_crew,A2,polite,comfort
greetings_and_basic_conversation,greeting,English,Turkish,The air is too hot.,Hava çok sıcak.,passenger,cabin_crew,A1,neutral,comfort
greetings_and_basic_conversation,greeting,English,Turkish,Can you turn up the air?,Havayı biraz açar mısınız?,passenger,cabin_crew,A2,polite,comfort
greetings_and_basic_conversation,greeting,English,Turkish,The reading light is not working.,Okuma ışığı çalışmıyor.,passenger,cabin_crew,A2,neutral,seat
greetings_and_basic_conversation,greeting,English,Turkish,My seat belt is stuck.,Emniyet kemerim sıkıştı.,passenger,cabin_crew,A2,urgent,safety
greetings_and_basic_conversation,greeting,English,Turkish,Could you help with my seat belt?,Emniyet kemerimle yardım eder misiniz?,passenger,cabin_crew,A2,polite,safety
greetings_and_basic_conversation,greeting,English,Turkish,Please open the window shade.,Lütfen perdeyi açın.,cabin_crew,passenger,A2,neutral,instruction
greetings_and_basic_conversation,greeting,English,Turkish,Please close the window shade.,Lütfen perdeyi kapatın.,cabin_crew,passenger,A2,neutral,instruction
greetings_and_basic_conversation,greeting,English,Turkish,We are starting the descent.,Alçalmaya başlıyoruz.,cabin_crew,passenger,A2,reassuring,flight
greetings_and_basic_conversation,greeting,English,Turkish,Please prepare for landing.,Lütfen inişe hazırlanın.,cabin_crew,passenger,A2,formal,flight
greetings_and_basic_conversation,greeting,English,Turkish,We will be landing shortly.,Az sonra iniş yapacağız.,cabin_crew,passenger,A2,reassuring,flight
greetings_and_basic_conversation,greeting,English,Turkish,Please return to your seat.,Lütfen koltuğunuza dönün.,cabin_crew,passenger,A2,formal,instruction
greetings_and_basic_conversation,greeting,English,Turkish,I have to use the toilet.,Tuvaleti kullanmam gerekiyor.,passenger,cabin_crew,A1,neutral,toilet
greetings_and_basic_conversation,greeting,English,Turkish,Where is the toilet?,Tuvalet nerede?,passenger,cabin_crew,A1,polite,toilet
greetings_and_basic_conversation,greeting,English,Turkish,The toilet is at the back.,Tuvalet arka tarafta.,cabin_crew,passenger,A1,neutral,toilet
greetings_and_basic_conversation,greeting,English,Turkish,The lavatory is occupied.,Tuvalet dolu.,cabin_crew,passenger,A2,neutral,toilet
greetings_and_basic_conversation,greeting,English,Turkish,Please wait a moment.,Lütfen bir dakika bekleyin.,cabin_crew,passenger,A1,polite,conversation
greetings_and_basic_conversation,greeting,English,Turkish,"Just a moment, please.",Bir dakika lütfen.,cabin_crew,passenger,A1,polite,conversation
greetings_and_basic_conversation,greeting,English,Turkish,I can wait.,Bekleyebilirim.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,I am in a hurry.,Acele ediyorum.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Where should I go?,Nereye gitmeliyim?,passenger,cabin_crew,A1,polite,direction
greetings_and_basic_conversation,greeting,English,Turkish,Please show me.,Bana gösterir misiniz?,passenger,cabin_crew,A1,polite,help
greetings_and_basic_conversation,greeting,English,Turkish,Follow the signs.,İşaretleri takip edin.,cabin_crew,passenger,A2,neutral,instruction
greetings_and_basic_conversation,greeting,English,Turkish,Please keep your ticket ready.,Lütfen biletinizi hazır tutun.,cabin_crew,passenger,A2,formal,boarding
greetings_and_basic_conversation,greeting,English,Turkish,I have my boarding pass.,Biniş kartım var.,passenger,cabin_crew,A1,neutral,boarding
greetings_and_basic_conversation,greeting,English,Turkish,Here is my boarding pass.,Biniş kartım burada.,passenger,cabin_crew,A1,neutral,boarding
greetings_and_basic_conversation,greeting,English,Turkish,May I see your boarding pass?,Biniş kartınızı görebilir miyim?,cabin_crew,passenger,A2,polite,boarding
greetings_and_basic_conversation,greeting,English,Turkish,Please have your passport ready.,Lütfen pasaportunuzu hazır edin.,cabin_crew,passenger,A2,formal,boarding
greetings_and_basic_conversation,greeting,English,Turkish,I forgot my passport.,Pasaportumu unuttum.,passenger,cabin_crew,A1,urgent,boarding
greetings_and_basic_conversation,greeting,English,Turkish,I missed my flight.,Uçağı kaçırdım.,passenger,cabin_crew,A1,urgent,flight
greetings_and_basic_conversation,greeting,English,Turkish,Is this the right gate?,Bu doğru kapı mı?,passenger,cabin_crew,A1,polite,gate
greetings_and_basic_conversation,greeting,English,Turkish,Where is gate B12?,B12 kapısı nerede?,passenger,cabin_crew,A1,polite,gate
greetings_and_basic_conversation,greeting,English,Turkish,Your gate has changed.,Kapınız değişti.,cabin_crew,passenger,A1,neutral,"gate,delay"
greetings_and_basic_conversation,greeting,English,Turkish,Please check the gate number.,Lütfen kapı numarasını kontrol edin.,cabin_crew,passenger,A2,formal,gate
greetings_and_basic_conversation,greeting,English,Turkish,I am waiting for boarding.,Binişi bekliyorum.,passenger,cabin_crew,A1,neutral,boarding
greetings_and_basic_conversation,greeting,English,Turkish,Boarding will start soon.,Biniş birazdan başlayacak.,cabin_crew,passenger,A1,reassuring,boarding
greetings_and_basic_conversation,greeting,English,Turkish,Please line up here.,Lütfen burada sıraya girin.,cabin_crew,passenger,A2,formal,boarding
greetings_and_basic_conversation,greeting,English,Turkish,I am traveling alone.,Yalnız seyahat ediyorum.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,I am with my family.,Ailemle birlikteyim.,passenger,cabin_crew,A1,neutral,family
greetings_and_basic_conversation,greeting,English,Turkish,My family is on this flight.,Ailem bu uçakta.,passenger,cabin_crew,A1,neutral,family
greetings_and_basic_conversation,greeting,English,Turkish,I have a small child with me.,Yanımda küçük bir çocuğum var.,passenger,cabin_crew,A1,neutral,child
greetings_and_basic_conversation,greeting,English,Turkish,My child is asleep.,Çocuğum uyuyor.,passenger,cabin_crew,A1,neutral,child
greetings_and_basic_conversation,greeting,English,Turkish,Please be gentle.,Lütfen nazik olun.,passenger,cabin_crew,A2,polite,"child,help"
greetings_and_basic_conversation,greeting,English,Turkish,I have a pet with me.,Yanımda bir evcil hayvanım var.,passenger,cabin_crew,A1,neutral,pet
greetings_and_basic_conversation,greeting,English,Turkish,My dog is calm.,Köpeğim sakin.,passenger,cabin_crew,A1,neutral,pet
greetings_and_basic_conversation,greeting,English,Turkish,Is my pet allowed here?,Evcil hayvanım burada kabul ediliyor mu?,passenger,cabin_crew,A2,polite,pet
greetings_and_basic_conversation,greeting,English,Turkish,Please keep your pet in the carrier.,Lütfen evcil hayvanınızı taşıma çantasında tutun.,cabin_crew,passenger,A2,formal,"pet,instruction"
greetings_and_basic_conversation,greeting,English,Turkish,I need an aisle seat.,Koridor tarafı koltuk istiyorum.,passenger,cabin_crew,A1,polite,seat
greetings_and_basic_conversation,greeting,English,Turkish,I need a window seat.,Pencere tarafı koltuk istiyorum.,passenger,cabin_crew,A1,polite,seat
greetings_and_basic_conversation,greeting,English,Turkish,I need extra legroom.,Daha fazla diz mesafesi istiyorum.,passenger,cabin_crew,A2,polite,seat
greetings_and_basic_conversation,greeting,English,Turkish,This is my first flight.,Bu benim ilk uçuşum.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,I am nervous.,Gerginim.,passenger,cabin_crew,A1,neutral,health
greetings_and_basic_conversation,greeting,English,Turkish,Don't worry.,Merak etmeyin.,cabin_crew,passenger,A1,reassuring,reassurance
greetings_and_basic_conversation,greeting,English,Turkish,It will be okay.,Her şey yoluna girecek.,cabin_crew,passenger,A1,reassuring,reassurance
greetings_and_basic_conversation,greeting,English,Turkish,I am worried about the delay.,Gecikme için endişeliyim.,passenger,cabin_crew,A2,neutral,delay
greetings_and_basic_conversation,greeting,English,Turkish,The delay is due to weather.,Gecikme hava durumundan kaynaklanıyor.,cabin_crew,passenger,A2,formal,delay
greetings_and_basic_conversation,greeting,English,Turkish,We are sorry for the inconvenience.,Rahatsızlık için özür dileriz.,cabin_crew,passenger,A2,formal,apology
greetings_and_basic_conversation,greeting,English,Turkish,Thank you for flying with us.,Bizimle uçtuğunuz için teşekkür ederiz.,cabin_crew,passenger,A2,formal,farewell
greetings_and_basic_conversation,greeting,English,Turkish,I am going to sleep.,Uyuyacağım.,passenger,cabin_crew,A1,neutral,comfort
greetings_and_basic_conversation,greeting,English,Turkish,Please wake me up.,Lütfen beni uyandırın.,passenger,cabin_crew,A2,polite,comfort
greetings_and_basic_conversation,greeting,English,Turkish,I need to charge my phone.,Telefonumu şarj etmem gerekiyor.,passenger,cabin_crew,A1,neutral,phone
greetings_and_basic_conversation,greeting,English,Turkish,Is there a charging point?,Şarj yeri var mı?,passenger,cabin_crew,A2,polite,phone
greetings_and_basic_conversation,greeting,English,Turkish,Please keep your device on airplane mode.,Lütfen cihazınızı uçak modunda tutun.,cabin_crew,passenger,A2,formal,"safety,phone"
greetings_and_basic_conversation,greeting,English,Turkish,I have a question.,Bir sorum var.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Can I ask something?,Bir şey sorabilir miyim?,passenger,cabin_crew,A1,polite,conversation
greetings_and_basic_conversation,greeting,English,Turkish,"Sure, go ahead.","Tabii, sorun.",cabin_crew,passenger,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,I am from Turkey.,Türkiye'denim.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Where are you from?,Nerelisiniz?,passenger,cabin_crew,A1,polite,conversation
greetings_and_basic_conversation,greeting,English,Turkish,I am from London.,Londra'danım.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,We are ready to board.,Binmeye hazırız.,cabin_crew,passenger,A1,formal,boarding
greetings_and_basic_conversation,greeting,English,Turkish,Please have your passport ready.,Lütfen pasaportunuzu hazırda tutun.,cabin_crew,passenger,A2,formal,boarding
greetings_and_basic_conversation,greeting,English,Turkish,Your flight is boarding now.,Uçağınızın binişi şimdi yapılıyor.,cabin_crew,passenger,A2,formal,boarding
greetings_and_basic_conversation,greeting,English,Turkish,Please wait for your group.,Lütfen sıranızı bekleyin.,cabin_crew,passenger,A2,formal,boarding
greetings_and_basic_conversation,greeting,English,Turkish,My boarding group is called.,Biniş grubum çağrıldı.,passenger,cabin_crew,A2,neutral,boarding
greetings_and_basic_conversation,greeting,English,Turkish,I am here.,Buradayım.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Here I am.,Buradayım.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Please come this way.,Lütfen bu tarafa gelin.,cabin_crew,passenger,A1,polite,instruction
greetings_and_basic_conversation,greeting,English,Turkish,The cabin crew will assist you.,Kabin ekibi size yardımcı olacak.,cabin_crew,passenger,A2,reassuring,help
greetings_and_basic_conversation,greeting,English,Turkish,I am lost.,Kayboldum.,passenger,cabin_crew,A1,urgent,help
greetings_and_basic_conversation,greeting,English,Turkish,I need directions.,Yol tarifi lazım.,passenger,cabin_crew,A1,neutral,help
greetings_and_basic_conversation,greeting,English,Turkish,Please tell me where to go.,Bana nereye gideceğimi söyler misiniz?,passenger,cabin_crew,A2,polite,help
greetings_and_basic_conversation,greeting,English,Turkish,I am boarding now.,Şimdi uçağa biniyorum.,passenger,cabin_crew,A1,neutral,boarding
greetings_and_basic_conversation,greeting,English,Turkish,The flight is ready.,Uçuş hazır.,cabin_crew,passenger,A1,neutral,flight
greetings_and_basic_conversation,greeting,English,Turkish,Please keep your bag with you.,Lütfen çantanızı yanınızda tutun.,cabin_crew,passenger,A1,formal,luggage
greetings_and_basic_conversation,greeting,English,Turkish,I have a small bag.,Küçük bir çantam var.,passenger,cabin_crew,A1,neutral,luggage
greetings_and_basic_conversation,greeting,English,Turkish,My bag is in the overhead bin.,Çantam üst bölmede.,passenger,cabin_crew,A2,neutral,luggage
greetings_and_basic_conversation,greeting,English,Turkish,Please do not block the aisle.,Lütfen koridoru kapatmayın.,cabin_crew,passenger,A2,formal,safety
greetings_and_basic_conversation,greeting,English,Turkish,I am sitting here.,Burada oturuyorum.,passenger,cabin_crew,A1,neutral,seat
greetings_and_basic_conversation,greeting,English,Turkish,This is my seat.,Bu benim koltuğum.,passenger,cabin_crew,A1,neutral,seat
greetings_and_basic_conversation,greeting,English,Turkish,That is my bag.,O benim çantam.,passenger,cabin_crew,A1,neutral,luggage
greetings_and_basic_conversation,greeting,English,Turkish,Please take your bag.,Lütfen çantanızı alın.,cabin_crew,passenger,A1,formal,luggage
greetings_and_basic_conversation,greeting,English,Turkish,I forgot my bag.,Çantamı unuttum.,passenger,cabin_crew,A1,urgent,luggage
greetings_and_basic_conversation,greeting,English,Turkish,I am ready.,Hazırım.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,We are ready to go.,Gitmeye hazırız.,cabin_crew,passenger,A1,reassuring,flight
greetings_and_basic_conversation,greeting,English,Turkish,Let's go.,Hadi gidelim.,cabin_crew,passenger,A1,neutral,instruction
greetings_and_basic_conversation,greeting,English,Turkish,I am coming.,Geliyorum.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Please sit down.,Lütfen oturun.,cabin_crew,passenger,A1,formal,instruction
greetings_and_basic_conversation,greeting,English,Turkish,Please get up slowly.,Lütfen yavaşça kalkın.,cabin_crew,passenger,A2,formal,instruction
greetings_and_basic_conversation,greeting,English,Turkish,I am getting off the plane.,Uçaktan iniyorum.,passenger,cabin_crew,A1,neutral,disembark
greetings_and_basic_conversation,greeting,English,Turkish,Please watch your step.,Lütfen adımınıza dikkat edin.,cabin_crew,passenger,A1,formal,instruction
greetings_and_basic_conversation,greeting,English,Turkish,I am at the gate.,Kapının yanındayım.,passenger,cabin_crew,A1,neutral,gate
greetings_and_basic_conversation,greeting,English,Turkish,The gate is over there.,Kapı orada.,cabin_crew,passenger,A1,neutral,gate
greetings_and_basic_conversation,greeting,English,Turkish,I am not sure.,Emin değilim.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,That's fine.,Sorun değil.,cabin_crew,passenger,A1,neutral,response
greetings_and_basic_conversation,greeting,English,Turkish,I appreciate your help.,Yardımınızı takdir ediyorum.,passenger,cabin_crew,A2,polite,thanks
greetings_and_basic_conversation,greeting,English,Turkish,It is my pleasure.,Memnuniyetle.,cabin_crew,passenger,A2,polite,response
greetings_and_basic_conversation,greeting,English,Turkish,Please call me if needed.,Gerekirse beni çağırın lütfen.,passenger,cabin_crew,A2,polite,conversation
greetings_and_basic_conversation,greeting,English,Turkish,I will be here.,Burada olacağım.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Please keep this with you.,Lütfen bunu yanınızda tutun.,cabin_crew,passenger,A2,formal,instruction
greetings_and_basic_conversation,greeting,English,Turkish,I need a moment.,Bir dakikaya ihtiyacım var.,passenger,cabin_crew,A1,neutral,conversation
greetings_and_basic_conversation,greeting,English,Turkish,Take your time.,Acele etmeyin.,cabin_crew,passenger,A1,reassuring,reassurance
greetings_and_basic_conversation,greeting,English,Turkish,I am okay now.,Şimdi iyiyim.,passenger,cabin_crew,A1,reassuring,health
